{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
50;9.85E-05;0.000114155;0;3.75E-06;0.000114155;0;0.017;0;0.665891719;0.591221271;0;0;0.0001
51;9.70E-05;0.000114155;0;2.38E-06;0.000114155;0;0.009;0;0.633046117;0.591221271;0;0;0.0001
52;9.81E-05;0.000114155;0;8.30E-06;0.000114155;0;0.027;0;0.612535236;0.591221271;0;0;0.0001
53;9.85E-05;0.000114155;0;2.49E-05;0.000114155;0;0.088;0;0.619047969;0.591221271;0;0;0.0001
54;9.69E-05;0.000114155;0;6.93E-05;0.000114155;0;0.12;0;0.677620277;0.591221271;0;0;0.0001
55;9.26E-05;0.000114155;0;0.000143;0.000114155;0.025474525;0.224;0;0.667484661;0.591221271;0;0;0.0001
56;9.21E-05;0.000114155;0;0.00019;0.000114155;0.291708292;0.296;0;0.700090616;0.591221271;0;0;0.0001
57;9.73E-05;0.000114155;0;0.000168;0.000114155;0.587745588;0.223;0;0.707702901;0.591221271;0;0;0.0001
58;9.98E-05;0.000114155;0;0.000165;0.000114155;0.572594073;0.116;0;0.706222735;0.591221271;0;0.175317131;0.0001
59;9.98E-05;0.000114155;0;0.000179;0.000114155;0.419413919;0.046;0;0.707350481;0.591221271;0;0.151450763;0.0001
60;1.00E-04;0.000114155;0;0.000196;0.000114155;0.978354978;0.012;0;0.645634581;0.591221271;0;0.303959955;0.0001
61;9.95E-05;0.000114155;0;0.000195;0.000114155;0.934232434;0.001;0;0.65331735;0.591221271;0;0.62159194;0.0001
62;9.97E-05;0.000114155;0;0.000185;0.000114155;0.987179487;0;0;0.711382173;0.591221271;0;0.557775868;0.0001
63;1.00E-04;0.000114155;0;0.000199;0.000114155;0.730602731;0;0;0.724266671;0.591221271;0;0.648792755;0.0001
64;1.00E-04;0.000114155;0;0.000216;0.000114155;6.99E-01;0;0;0.666342817;0.591221271;0;0.604020436;0.0001
65;0.0001001;0.000114155;0;0.000224;0.000114155;0.457875458;0.002;0;0.724182089;0.591221271;0;0.724593739;0.0001
66;1.00E-04;0.000114155;0;0.000198;0.000114155;0.036963037;0.023;0;0.687079246;0.591221271;0;0.664016617;0.0001
67;0.000102758;0.000114155;0;1.37E-04;0.000114155;0;0.127;0;0.776904214;0.591221271;0;0.565216699;0.0001
68;0.000111525;0.000114155;0;9.07E-05;0.000114155;0;0.251;0;0.883518501;0.591221271;0;0.511579048;0.0001
69;1.14E-04;0.000114155;0;6.33E-05;0.000114155;0;0.289;0;0.794341988;0.591221271;0;0.596547773;0.0001
70;1.14E-04;0.000114155;0;4.11E-05;0.000114155;0;0.283;0;0.692182298;0.591221271;0;0.274857152;0.0001
71;1.09E-04;0.000114155;0;2.46E-05;0.000114155;0;0.238;0;0.710339007;0.591221271;0;0;0.0001
72;9.83E-05;0.000114155;0;8.08E-06;0.000114155;0;0.163;0;0.688799059;0.591221271;0;0;0.0001
73;1.00E-04;0.000114155;0;6.77E-06;0.000114155;0;0.072;0;0.703262401;0.591221271;0;0;0.0001
74;9.82E-05;0.000114155;0;3.75E-06;0.000114155;0;0.015;0;0.700894135;0.591221271;0;0;0.0001
75;9.89E-05;0.000114155;0;2.38E-06;0.000114155;0;0.003;0;0.689475707;0.591221271;0;0;0.0001
76;9.71E-05;0.000114155;0;8.30E-06;0.000114155;0;0.002;0;0.679114541;0.591221271;0;0;0.0001
77;9.69E-05;0.000114155;0;2.49E-05;0.000114155;0;0.003;0;0.692957622;0.591221271;0;0;0.0001
78;9.81E-05;0.000114155;0;6.93E-05;0.000114155;0;0.003;0;0.708393646;0.591221271;0;0;0.0001
79;9.78E-05;0.000114155;0;0.000143;0.000114155;0.036297036;0.003;0;0.708083516;0.591221271;0;0;0.0001
80;1.02E-04;0.000114155;0;0.00019;0.000114155;0.30969031;0.007;0;0.708985712;0.591221271;0;0;0.0001
81;1.05E-04;0.000114155;0;0.000168;0.000114155;0.620546121;0.011;0;0.707350481;0.591221271;0;0;0.0001
82;1.09E-04;0.000114155;0;0.000165;0.000114155;0.839160839;0.013;0;0.690998164;0.591221271;0;0.12865874;0.0001
83;1.08E-04;0.000114155;0;0.000179;0.000114155;0.985847486;0.011;0;0.69536818;0.591221271;0;0.28735934;0.0001
84;1.09E-04;0.000114155;0;0.000196;0.000114155;1.003496503;0.005;0;0.70011881;0.591221271;0;0.498432253;0.0001
85;1.10E-04;0.000114155;0;0.000195;0.000114155;0.961371961;0.004;0;0.672418548;0.591221271;0;0.48342326;0.0001
86;1.11E-04;0.000114155;0;0.000185;0.000114155;0.955377955;0.003;0;0.708337258;0.591221271;0;0.58562129;0.0001
87;1.11E-04;0.000114155;0;0.000199;0.000114155;0.747752248;0.009;0;0.712552209;0.591221271;0;0.467546833;0.0001
88;1.05E-04;0.000114155;0;0.000216;0.000114155;0.4002664;0.024;0;0.729003205;0.591221271;0;0.511045855;0.0001
89;1.05E-04;0.000114155;0;0.000224;0.000114155;0.154179154;0.125;0;0.691562037;0.591221271;0;0.566911776;0.0001
