{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
50;8.30E-05;0.000114155;0;3.75E-06;0.000114155;0;0.01;0;0.665891719;0.251580946;0;0;0.0001
51;7.90E-05;0.000114155;0;2.38E-06;0.000114155;0;0.017;0;0.633046117;0.250903743;0;0;0.0001
52;7.61E-05;0.000114155;0;8.30E-06;0.000114155;0;0.03;0;0.612535236;0.25259675;0;0;0.0001
53;7.58E-05;0.000114155;0;2.49E-05;0.000114155;0;0.037;0;0.619047969;0.252935353;0;0;0.0001
54;7.56E-05;0.000114155;0;6.93E-05;0.000114155;0;0.028;0;0.677620277;0.25259675;0;0;0.0001
55;6.92E-05;0.000114155;0;0.000143;0.000114155;0.035892821;0.008;0;0.667484661;0.249210734;0;0;0.0001
56;7.12E-05;0.000114155;0;0.00019;0.000114155;0.117276545;0;0;0.700090616;0.253273953;0;0;0.0001
57;7.61E-05;0.000114155;0;0.000168;0.000114155;0.279244151;0;0;0.707702901;0.257337172;0;0;0.0001
58;8.06E-05;0.000114155;0;0.000165;0.000114155;0.393421316;0;0;0.706222735;0.252935353;0;0.265087648;0.0001
59;8.17E-05;0.000114155;0;0.000179;0.000114155;0.182263547;0;0;0.707350481;0.259030179;0;0.369188293;0.0001
60;8.17E-05;0.000114155;0;0.000196;0.000114155;0.236252749;0;0;0.645634581;0.299323763;0;0.272675968;0.0001
61;8.08E-05;0.000114155;0;0.000195;0.000114155;0.25044991;0;0;0.65331735;0.341310354;0;0.471899772;0.0001
62;7.86E-05;0.000114155;0;0.000185;0.000114155;0.480903819;0;0;0.711382173;0.336569933;0;0.174505327;0.0001
63;8.10E-05;0.000114155;0;0.000199;0.000114155;0.126174765;0;0;0.724266671;0.340633152;0;0.486920132;0.0001
64;8.25E-05;0.000114155;0;0.000216;0.000114155;1.81E-01;0;0;0.666342817;0.582056051;0;0.675864105;0.0001
65;8.30E-05;0.000114155;0;0.000224;0.000114155;0.152569486;0.036;0;0.724182089;0.573929614;0;0.819078462;0.0001
